single subject; eight feet; indoors
==========
482	70	69	70	72	68	74	70	72	72	72	67	67	67	71	69	68	70	72	70	72	71	70	69	72	72	70	70	70	85	71	66	67	76	74	72	73	86	77	74	68	71	72	72	69	84	73	70	69	74	72	68	73	74	68	66	68	75	74	70	70	73	70	73	65
482	72	70	77	72	71	71	74	73	74	70	73	69	70	72	70	68	73	74	72	70	70	72	70	72	74	73	71	70	86	75	70	71	76	69	73	75	89	77	74	68	71	73	73	74	85	74	67	67	69	70	69	73	74	70	70	70	73	70	71	74	72	71	66	68
482	74	69	73	71	72	73	73	72	73	68	70	68	70	72	69	68	75	72	74	70	70	71	73	71	76	73	71	71	84	70	70	70	74	72	71	76	88	76	71	69	71	73	72	70	83	74	68	71	71	71	71	71	72	71	68	68	76	72	69	74	75	70	70	70
482	64	63	68	66	69	70	66	62	67	65	67	61	65	69	64	62	69	67	63	65	62	64	64	65	68	64	66	64	76	64	60	63	70	69	71	70	77	68	66	65	72	68	69	74	75	67	63	64	71	65	64	73	72	64	63	62	71	65	66	70	67	63	62	59
482	67	66	69	68	68	70	68	65	70	66	66	67	64	66	64	62	68	67	66	61	62	66	66	64	68	67	68	69	75	64	65	63	75	73	69	76	78	68	66	66	73	67	69	76	78	69	68	67	69	67	65	74	70	67	61	67	71	68	67	72	68	66	66	60
482	66	67	70	72	70	71	67	70	70	68	65	66	64	70	66	62	65	73	67	66	62	65	66	68	71	68	71	69	77	65	69	64	70	68	67	72	80	70	66	65	70	72	70	75	80	71	70	70	70	69	69	73	75	65	65	68	67	65	65	72	71	65	66	63
482	66	66	67	69	69	74	70	65	71	68	67	67	65	70	65	69	71	71	65	68	61	65	68	67	71	71	68	68	78	67	66	67	73	68	72	77	83	65	69	64	71	70	72	80	81	68	65	66	71	71	70	77	75	70	67	65	63	68	68	74	73	69	63	62
482	69	64	70	69	72	71	67	68	69	68	66	69	66	69	68	68	70	68	69	67	64	69	69	69	71	71	70	76	79	71	69	66	74	73	70	77	82	73	68	66	71	73	66	74	76	69	69	70	70	67	69	74	75	69	67	64	71	68	65	71	71	68	67	62
482	70	69	71	72	72	75	66	68	73	66	66	67	65	71	67	64	68	68	67	67	67	68	66	66	71	72	68	72	75	68	65	67	70	72	70	78	81	67	68	66	70	69	73	78	79	72	67	66	78	71	69	74	74	69	67	66	69	72	72	70	71	65	65	67
482	70	71	68	70	72	74	67	67	71	68	69	69	70	72	68	64	68	70	71	71	65	71	70	69	72	66	70	69	80	68	73	66	75	74	74	77	83	73	73	65	71	72	74	83	81	77	69	70	73	70	69	76	77	68	68	69	70	71	67	74	74	69	68	62
